,name,github_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,contributor_count,projectrank,show,projectrank_placing,dependent_project_count,github_dependent_project_count,pypi_id,pypi_url,pypi_latest_release_published_at
0,youtube-dl,ytdl-org/youtube-dl,data-collection,https://github.com/ytdl-org/youtube-dl,https://github.com/ytdl-org/youtube-dl,Unlicense,2010-10-31 14:35:07+00:00,2019-11-09 16:15:26+00:00,2019-11-09 16:15:15+00:00,9970.0,3076.0,15850.0,57550.0,17407.0,2019-11-04 22:34:16+00:00,2019.11.05,39097656.0,1699898.0,100.0,Command-line program to download videos from YouTube.com and other..,842.0,30,True,1.0,,,,,
1,HanLP,hankcs/HanLP,language-specific-nlp,https://github.com/hankcs/HanLP,https://github.com/hankcs/HanLP,Apache-2.0,2014-10-09 06:36:16+00:00,2019-11-08 15:54:39+00:00,2019-11-08 15:53:45+00:00,4500.0,539.0,692.0,16203.0,1173.0,2019-10-17 02:20:24+00:00,1.7.5,169259.0,2969.0,46.0,,35.0,30,True,1.0,1266.0,1266.0,,,
2,you-get,soimort/you-get,data-collection,https://github.com/soimort/you-get,https://github.com/soimort/you-get,MIT,2012-08-20 15:53:36+00:00,2019-10-27 18:04:05+00:00,2019-10-24 19:28:53+00:00,5574.0,320.0,,27917.0,2207.0,2019-09-24 12:05:39+00:00,0.4.1355,293750.0,3865.0,99.0,Dumb downloader that scrapes the web.,187.0,26,True,3.0,,,,,
3,ChatterBot,gunthercox/ChatterBot,conversational-ai,https://github.com/gunthercox/ChatterBot,https://github.com/gunthercox/ChatterBot,BSD-3-Clause,2014-09-28 14:49:00+00:00,2019-10-31 15:41:18+00:00,2019-08-03 18:18:18+00:00,3168.0,155.0,1062.0,9148.0,1831.0,2019-03-24 14:49:00+00:00,1.0.5,,,80.0,"ChatterBot is a machine learning, conversational dialog engine for..",98.0,26,True,1.0,1538.0,1538.0,,,
4,dlib,davisking/dlib,ml-frameworks,https://github.com/davisking/dlib,https://github.com/davisking/dlib,,2014-01-29 00:45:33+00:00,2019-11-06 18:40:26+00:00,2019-11-01 00:23:15+00:00,2432.0,42.0,1537.0,8179.0,7711.0,2019-09-22 19:06:07+00:00,19.18,23220.0,438.0,19.0,A toolkit for making real world machine learning and data analysis..,145.0,26,False,1.0,3066.0,3066.0,,,
5,jieba,fxsjy/jieba,language-specific-nlp,https://github.com/fxsjy/jieba,https://github.com/fxsjy/jieba,MIT,2012-09-29 07:52:01+00:00,2019-09-26 15:08:59+00:00,2019-07-01 11:43:45+00:00,5101.0,467.0,173.0,20735.0,500.0,2017-08-31 06:04:14+00:00,0.39,,,5.0,,43.0,25,False,2.0,5479.0,5479.0,,,
6,ml5-library,ml5js/ml5-library,language-specific-nlp,https://github.com/ml5js/ml5-library,https://github.com/ml5js/ml5-library,MIT,2017-10-03 20:45:07+00:00,2019-11-09 21:08:47+00:00,2019-11-07 16:29:53+00:00,257.0,96.0,226.0,3115.0,533.0,2019-11-06 20:48:28+00:00,0.4.2,99.0,6.0,11.0,Friendly machine learning for the web!.,42.0,23,True,2.0,206.0,206.0,,,
7,fuel,mila-iqia/fuel,data-pipelines,https://github.com/mila-iqia/fuel,https://github.com/mila-iqia/fuel,MIT,2015-02-12 20:42:44+00:00,2019-11-03 22:19:28+00:00,2018-10-31 12:50:33+00:00,255.0,86.0,110.0,815.0,1124.0,2016-02-25 20:56:30+00:00,0.2.0,,,4.0,A data pipeline framework for machine learning.,38.0,21,False,1.0,100.0,100.0,,,
8,caire,esimov/caire,language-specific-nlp,https://github.com/esimov/caire,https://github.com/esimov/caire,MIT,2018-01-08 19:23:04+00:00,2019-10-07 04:01:45+00:00,2019-10-07 04:01:44+00:00,312.0,4.0,37.0,9032.0,205.0,2019-09-11 12:29:57+00:00,1.2.3,1111.0,52.0,8.0,Content aware image resize library.,9.0,20,True,2.0,,,,,
9,pkuseg-python,lancopku/pkuseg-python,language-specific-nlp,https://github.com/lancopku/pkuseg-python,https://github.com/lancopku/pkuseg-python,MIT,2018-08-05 06:41:07+00:00,2019-07-05 00:47:51+00:00,2019-07-05 00:47:50+00:00,660.0,67.0,34.0,4286.0,187.0,,,16391.0,1639.0,2.0,pkuseg; The pkuseg toolkit for multi-domain Chinese word segmentation.,5.0,20,True,2.0,38.0,38.0,,,
10,mace,XiaoMi/mace,ml-frameworks,https://github.com/XiaoMi/mace,https://github.com/XiaoMi/mace,Apache-2.0,2018-06-27 03:50:12+00:00,2019-11-07 09:04:17+00:00,2019-11-07 05:30:06+00:00,625.0,40.0,444.0,3562.0,2871.0,2019-05-30 08:18:09+00:00,0.11.0-rc1,897.0,59.0,4.0,MACE is a deep learning inference framework optimized for mobile..,40.0,20,True,2.0,,,,,
11,ncnn,Tencent/ncnn,ml-frameworks,https://github.com/Tencent/ncnn,https://github.com/Tencent/ncnn,,2017-06-30 10:55:37+00:00,2019-11-08 11:09:40+00:00,2019-11-08 11:09:29+00:00,1977.0,145.0,938.0,7592.0,1039.0,2019-09-08 03:04:27+00:00,20190908,11810.0,421.0,14.0,ncnn is a high-performance neural network inference framework..,92.0,19,False,3.0,,,,,
12,MechanicalSoup,MechanicalSoup/MechanicalSoup,data-collection,https://github.com/MechanicalSoup/MechanicalSoup,https://github.com/MechanicalSoup/MechanicalSoup,MIT,2014-05-26 09:06:11+00:00,2019-09-18 05:54:32+00:00,2019-09-18 05:54:30+00:00,289.0,21.0,109.0,3344.0,538.0,2019-08-27 16:40:46+00:00,0.12.0,31.0,0.0,9.0,A Python library for automating interaction with websites.,37.0,19,True,3.0,,,,,
13,GPy,SheffieldML/GPy,others,https://github.com/SheffieldML/GPy,https://github.com/SheffieldML/GPy,BSD-3-Clause,2012-11-28 17:02:54+00:00,2019-11-05 13:55:22+00:00,2019-10-17 07:57:01+00:00,372.0,153.0,432.0,1157.0,,2016-11-08 07:47:57+00:00,1.5.6,69.0,1.0,6.0,Gaussian processes framework in python.,95.0,19,True,1.0,251.0,251.0,,,
14,kaldi,kaldi-asr/kaldi,audio,https://github.com/kaldi-asr/kaldi,https://github.com/kaldi-asr/kaldi,,2015-04-20 17:23:16+00:00,2019-11-09 21:31:07+00:00,2019-11-09 21:31:06+00:00,3440.0,221.0,955.0,7700.0,8772.0,,,,,,This is the official location of the Kaldi project.,360.0,18,False,1.0,,,,,
