,name,github_id,category,github_url,homepage,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,sourcerank,show,sourcerank_placing,license
0,protobuf,protocolbuffers/protobuf,data-serialization,https://github.com/protocolbuffers/protobuf,https://github.com/protocolbuffers/protobuf,2014-08-26 15:52:15+00:00,2019-11-08 17:45:56+00:00,2019-11-08 09:06:54+00:00,10306.0,760.0,2886.0,38310,7029.0,2019-10-29 18:30:28+00:00,3.10.1,13418191.0,212987.0,38.0,Protocol Buffers - Google's data interchange format.,48411.0,48411.0,679,34,False,1,
1,incubator-echarts,apache/incubator-echarts,data-viz,https://github.com/apache/incubator-echarts,https://github.com/apache/incubator-echarts,2013-04-03 03:18:59+00:00,2019-11-08 12:56:18+00:00,2019-11-08 12:56:17+00:00,11811.0,2628.0,8492.0,37638,5566.0,2019-10-15 07:01:06+00:00,4.4.0,,,64.0,"A powerful, interactive charting and visualization library for..",53652.0,53652.0,103,30,True,1,Apache-2.0
2,druid,alibaba/druid,others,https://github.com/alibaba/druid,https://github.com/alibaba/druid,2011-11-03 05:12:51+00:00,2019-11-08 00:42:08+00:00,2019-11-03 13:12:49+00:00,6574.0,1577.0,1019.0,19186,6051.0,2019-11-03 14:14:18+00:00,1.1.21,,,33.0,Data Lake Analytics(https://www.aliyun.com/product/datalakeanalytics..,126302.0,126302.0,161,29,False,1,
3,prisma,prisma/prisma,data-integration,https://github.com/prisma/prisma,https://github.com/prisma/prisma,2016-09-25 12:54:40+00:00,2019-11-01 02:34:33+00:00,2019-10-17 08:20:24+00:00,908.0,624.0,2730.0,16053,12399.0,2019-10-14 16:06:46+00:00,1.34.10,,,100.0,"Database Tools incl. ORM, Migrations and Admin UI (Postgres, MySQL &..",5574.0,5574.0,248,29,True,1,Apache-2.0
4,salt,saltstack/salt,remote-executions,https://github.com/saltstack/salt,https://github.com/saltstack/salt,2011-02-20 20:16:56+00:00,2019-11-08 17:24:41+00:00,2019-11-08 17:23:51+00:00,4685.0,3044.0,18904.0,10389,102510.0,2019-10-23 20:32:44+00:00,2019.2.2,19068.0,280.0,100.0,Software to automate the management and configuration of any..,,,3406,26,False,1,
5,sigma.js,jacomyal/sigma.js,data-viz,https://github.com/jacomyal/sigma.js,https://github.com/jacomyal/sigma.js,2012-03-11 15:17:40+00:00,2019-08-30 13:34:04+00:00,2018-09-21 08:40:05+00:00,1384.0,489.0,385.0,8757,824.0,2017-10-13 09:25:20+00:00,1.2.1,97055.0,1386.0,7.0,A JavaScript library dedicated to graph drawing.,278.0,278.0,69,26,False,2,MIT
6,alluxio,Alluxio/alluxio,data-integration,https://github.com/Alluxio/alluxio,https://github.com/Alluxio/alluxio,2012-12-21 17:43:46+00:00,2019-11-08 16:34:45+00:00,2019-11-06 23:19:49+00:00,2235.0,196.0,321.0,4396,30466.0,2019-11-01 05:58:49+00:00,2.1.0,19570.0,268.0,34.0,"Alluxio, data orchestration for analytics and machine learning in..",1.0,1.0,1205,26,True,1,Apache-2.0
7,h2database,h2database/h2database,data-storage,https://github.com/h2database/h2database,https://github.com/h2database/h2database,2015-04-10 19:09:09+00:00,2019-11-08 04:36:48+00:00,2019-11-08 04:36:47+00:00,645.0,195.0,904.0,2017,11735.0,2019-10-14 07:13:45+00:00,ersion-1.4.200,,,12.0,H2 is an embeddable RDBMS written in Java.,233060.0,233060.0,141,26,False,1,
8,ansible,ansible/ansible,remote-executions,https://github.com/ansible/ansible,https://github.com/ansible/ansible,2012-03-06 14:58:02+00:00,2019-11-08 17:42:56+00:00,2019-11-08 17:17:16+00:00,17335.0,6322.0,21001.0,40194,,2017-01-10 20:09:37+00:00,2.2.1.0-0.3.rc3,,,3.0,Ansible is a radically simple IT automation platform that makes your..,9302.0,9302.0,5910,25,True,2,GPL-3.0
9,skywalking,apache/skywalking,event-analytics,https://github.com/apache/skywalking,https://github.com/apache/skywalking,2015-11-07 03:30:36+00:00,2019-11-08 17:08:36+00:00,2019-11-08 06:48:40+00:00,3191.0,67.0,1754.0,11095,5234.0,2019-09-11 16:38:40+00:00,6.4.0,16893.0,359.0,34.0,"APM, Application Performance Monitoring System.",,,189,25,True,1,Apache-2.0
10,rabbitmq-server,rabbitmq/rabbitmq-server,others,https://github.com/rabbitmq/rabbitmq-server,https://github.com/rabbitmq/rabbitmq-server,2010-09-20 10:29:16+00:00,2019-11-08 15:16:04+00:00,2019-11-06 10:49:37+00:00,2034.0,71.0,1050.0,6448,18175.0,2019-11-01 02:57:47+00:00,3.7.21,2246743.0,80240.0,100.0,Open source multi-protocol messaging broker.,,,135,25,False,1,
11,realm-cocoa,realm/realm-cocoa,data-storage,https://github.com/realm/realm-cocoa,https://github.com/realm/realm-cocoa,2012-04-16 20:06:56+00:00,2019-11-08 17:32:25+00:00,2019-11-08 17:32:23+00:00,1771.0,423.0,3423.0,13564,10961.0,2019-11-05 01:17:36+00:00,3.21.0,245236.0,5703.0,100.0,Realm is a mobile database: a replacement for Core Data & SQLite.,,,147,24,False,1,
