,name,github_id,category,github_url,homepage,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,pypi_id,license,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,helm_id,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,brew_id,go_id,npm_id,npm_url,npm_latest_release_published_at,npm_monthly_downloads
0,protobuf,protocolbuffers/protobuf,data-serialization,https://github.com/protocolbuffers/protobuf,https://github.com/protocolbuffers/protobuf,2014-08-26 15:52:15+00:00,2019-11-11 18:14:31+00:00,2019-11-11 18:14:30+00:00,10306.0,760.0,2888.0,38342,7040.0,2019-10-29 18:30:28+00:00,3.10.1,13468832.0,213790.0,38.0,Protocol Buffers - Google's data interchange format.,48696.0,48696.0,679,34,False,1,,,,,,,,,,,,,,,,,,
1,thrift,apache/thrift,data-serialization,https://github.com/apache/thrift,https://github.com/apache/thrift,2009-09-18 08:00:17+00:00,2019-11-09 22:21:11+00:00,2019-11-09 22:21:09+00:00,3120.0,18.0,,6933,5834.0,2019-10-16 21:13:07+00:00,0.13.0,478.0,2220006.0,7.0,Apache Thrift.,2562.0,,395,33,True,2,thrift,Apache-2.0,https://pypi.org/project/thrift,2018-01-11 17:25:25+00:00,2562.0,2219963.0,,,,,,,,,,,,
2,incubator-echarts,apache/incubator-echarts,data-viz,https://github.com/apache/incubator-echarts,https://github.com/apache/incubator-echarts,2013-04-03 03:18:59+00:00,2019-11-11 20:39:16+00:00,2019-11-08 12:56:17+00:00,11811.0,2628.0,8497.0,37677,5566.0,2019-10-15 07:01:06+00:00,4.4.0,,,64.0,"A powerful, interactive charting and visualization library for browser.",53825.0,53825.0,103,30,True,1,,Apache-2.0,,,,,,,,,,,,,,,,
3,druid,alibaba/druid,others,https://github.com/alibaba/druid,https://github.com/alibaba/druid,2011-11-03 05:12:51+00:00,2019-11-08 00:42:08+00:00,2019-11-03 13:12:49+00:00,6577.0,1577.0,1020.0,19213,6051.0,2019-11-03 14:14:18+00:00,1.1.21,,,33.0,Data Lake Analytics(https://www.aliyun.com/product/datalakeanalytics )DRDSTDDL powered by Druid.,126578.0,126578.0,161,29,False,1,,,,,,,,,,,,,,,,,,
4,OpenFaaS,openfaas/faas,faas,https://github.com/openfaas/faas,https://github.com/openfaas/faas,2016-12-22 12:51:39+00:00,2019-11-11 19:09:06+00:00,2019-11-09 11:49:31+00:00,1279.0,59.0,573.0,16065,1752.0,2019-10-15 21:27:01+00:00,0.18.2,139806.0,216739.0,100.0,OpenFaaS - Serverless Functions Made Simple.,,,137,27,True,1,,MIT,,,,,openfaas/openfaas,openfaas/gateway,https://hub.docker.com/r/openfaas/gateway,2019-10-21 08:05:22.379881+00:00,2.0,7411143.0,,,,,,
5,salt,saltstack/salt,remote-executions,https://github.com/saltstack/salt,https://github.com/saltstack/salt,2011-02-20 20:16:56+00:00,2019-11-11 20:51:25+00:00,2019-11-11 17:06:24+00:00,4685.0,3044.0,18904.0,10395,102524.0,2019-10-23 20:32:44+00:00,2019.2.2,19077.0,280.0,100.0,Software to automate the management and configuration of any infrastructure or application at scale. Get access to the..,,,3406,26,False,1,,,,,,,,,,,,,,,,,,
6,sigma.js,jacomyal/sigma.js,data-viz,https://github.com/jacomyal/sigma.js,https://github.com/jacomyal/sigma.js,2012-03-11 15:17:40+00:00,2019-08-30 13:34:04+00:00,2018-09-21 08:40:05+00:00,1384.0,489.0,385.0,8759,824.0,2017-10-13 09:25:20+00:00,1.2.1,97062.0,1386.0,7.0,A JavaScript library dedicated to graph drawing.,279.0,279.0,69,26,False,2,,MIT,,,,,,,,,,,,,,,,
7,h2database,h2database/h2database,data-storage,https://github.com/h2database/h2database,https://github.com/h2database/h2database,2015-04-10 19:09:09+00:00,2019-11-11 09:34:46+00:00,2019-11-11 09:34:44+00:00,645.0,195.0,907.0,2022,11745.0,2019-10-14 07:13:45+00:00,ersion-1.4.200,,,12.0,H2 is an embeddable RDBMS written in Java.,233930.0,233930.0,141,26,False,1,,,,,,,,,,,,,,,,,,
8,ansible,ansible/ansible,remote-executions,https://github.com/ansible/ansible,https://github.com/ansible/ansible,2012-03-06 14:58:02+00:00,2019-11-11 21:02:41+00:00,2019-11-11 20:46:03+00:00,17353.0,6307.0,21018.0,40291,,2017-01-10 20:09:37+00:00,2.2.1.0-0.3.rc3,,,3.0,Ansible is a radically simple IT automation platform that makes your applications and systems easier to deploy. Avoid..,9347.0,9347.0,5913,25,True,2,,GPL-3.0,,,,,,,,,,,,,,,,
9,skywalking,apache/skywalking,event-analytics,https://github.com/apache/skywalking,https://github.com/apache/skywalking,2015-11-07 03:30:36+00:00,2019-11-11 16:59:41+00:00,2019-11-11 16:59:40+00:00,3203.0,68.0,1764.0,11118,5246.0,2019-09-11 16:38:40+00:00,6.4.0,16893.0,359.0,34.0,"APM, Application Performance Monitoring System.",,,189,25,True,1,,Apache-2.0,,,,,,,,,,,,,,,,
10,rabbitmq-server,rabbitmq/rabbitmq-server,others,https://github.com/rabbitmq/rabbitmq-server,https://github.com/rabbitmq/rabbitmq-server,2010-09-20 10:29:16+00:00,2019-11-08 19:23:58+00:00,2019-11-06 10:49:37+00:00,2034.0,71.0,1050.0,6460,18175.0,2019-11-01 02:57:47+00:00,3.7.21,2265642.0,80915.0,100.0,Open source multi-protocol messaging broker.,,,135,25,False,1,,,,,,,,,,,,,,,,,,
